"study_ID","study_name","year","species","order","life_stage","animal_source","body_mass","respiration_mode","replication_level","dive.type","summary_stat","acclimation_temp","t1","t2","mean_t","delta_t","t_magnitude","mean_t1","sd_t1","n_t1","se_t1","mean_t2","sd_t2","n_t2","se_t2","shared_control","Q10","source","genus","species_new","sub_spp","species_rotl"
"93","093_Priest&Franklin_2002",2002,"Rheodytes leukops","testudines","adult","wild",1325,"bimodal","individual","voluntary","mean","23",15,23,19,8,"plus8-9",98.94736842,55.43582049,6,22.63157895,35.78947368,19.33807692,6,7.894736842,1,0.280503852,"Fig1A","Rheodytes","leukops","Rheodytes","Rheodytes_leukops"
"119","119_Udyawer_etal_2016",2016,"Hydrophis curtus","serpentes","unspecified","wild",160,"bimodal","individual","voluntary","mean","27",21,30,25.5,9,"plus8-9",39.78947368,16.05944635,11,4.842105263,11.15789474,3.49118399,11,1.052631579,1,0.243478195,"Fig1B","Hydrophis","curtus","Hydrophis","Hydrophis_curtus"
"119","119_Udyawer_etal_2016",2016,"Hydrophis elegans","serpentes","unspecified","wild",1035,"bimodal","individual","voluntary","mean","27",21,30,25.5,9,"plus8-9",27.36842105,13.31485331,10,4.210526316,10.94736842,1.997227996,10,0.631578947,1,0.361280428,"Fig1B","Hydrophis","elegans","Hydrophis","Hydrophis_elegans"
"90","090_Prassack_etal_2001",2001,"Apalone ferox","testudines","unspecified","wild",1123.3,"bimodal","individual","voluntary","mean","25/15",15,25,20,10,"plus10",18.6,11.7,9,3.9,5.4,3,9,1,2,0.290322581,"Table2","Apalone","ferox","Apalone","Apalone_ferox"
"90","090_Prassack_etal_2001",2001,"Chrysemys picta","testudines","unspecified","wild",295.4,"bimodal","individual","voluntary","mean","25/15",15,25,20,10,"plus10",5.7,2.984962311,11,0.9,3.9,2.653299832,11,0.8,1,0.684210526,"Table2","Chrysemys","picta","Chrysemys","Chrysemys_picta"
"116","116_Storey_etal_2008",2008,"Elseya albagula","testudines","juveniles","wild",133.3,"bimodal","individual","voluntary","mean",NA,20,30,25,10,"plus10",27.6,32.45454942,7,12.26666667,9.333333333,4.938735781,7,1.866666667,1,0.338164251,"Fig2A","Elseya","albagula","Elseya","Elseya_albagula"
"3","003_Aubret_etal_2015",2015,"Natrix maura ","serpentes","juvenile","wild",2.525,"aerial","individual","fright","mean","18",10,20,15,10,"plus10",57.27272727,34.54246399,231,2.272727273,11.13636364,13.81698559,231,0.909090909,1,0.194444444,"fig1","Natrix","maura","Natrix","Natrix_maura"
"3","003_Aubret_etal_2015",2015,"Natrix maura ","serpentes","juvenile","wild",2.525,"aerial","individual","fright","mean","18",20,30,25,10,"plus10",11.13636364,13.81698559,231,0.909090909,3.636363636,10.3627392,231,0.681818182,2,0.326530612,"fig1","Natrix","maura","Natrix","Natrix_maura"
"106","106_Samajova&Gvozdik_2009",2009,"Ichthyosaura alpestris","urodela","adult","wild",3.5,"bimodal","individual","voluntary","mean","18-16",10,20,15,10,"plus10",5.512820513,1.954108603,12,0.564102564,2.102564103,0.53293871,12,0.153846154,1,0.381395349,"Fig2A; body mas data from DOI 10.1007/s00265-005-0924-8, pg. 123","Ichthyosaura","alpestris","Ichthyosaura","Ichthyosaura_alpestris"
"106","106_Samajova&Gvozdik_2009",2009,"Ichthyosaura alpestris","urodela","adult","wild",3.5,"bimodal","individual","voluntary","mean","18-16",15,25,20,10,"plus10",3.320512821,1.154700538,12,0.333333333,0.923076923,0.222057796,12,0.064102564,2,0.277992278,"Fig2A; body mas data from DOI 10.1007/s00265-005-0924-8, pg. 123","Ichthyosaura","alpestris","Ichthyosaura","Ichthyosaura_alpestris"
"23","023_Clark_etal_2008",2008,"Elusor macrurus","testudines","juvenile","wild",30.04,"bimodal","individual","voluntary","mean","28",17,28,22.5,11,"plus10",125,55.56077753,7,21,6.78,2.539921259,7,0.96,2,0.070693833,"In text pg. 304","Elusor","macrurus","Elusor","Elusor_macrurus"
"97","097_Reyes&Milsom_2009",2010,"Trachemys scripta elegans","serpentes","adult","captive",1110,"aerial","individual","voluntary","mean","9,14.7,20.8",9,20.8,14.9,11.8,"plus10",55.8,1.414213562,8,0.5,54,1.959591794,6,0.8,1,0.972594549,"Table2","Trachemys","scripta","elegans","Trachemys_scripta"
"92","092_Pratt&Franklin_2010",2010,"Acrochordus arafurae","serpentes","juvenile","captive",57,"bimodal","individual","voluntary","mean","28",20,32,26,12,"plus10",53.84615385,7.653749516,11,2.307692308,19.61538462,7.015937057,11,2.115384615,1,0.431057412,"Fig2","Acrochordus","arafurae","Acrochordus","Acrochordus_arafurae"
"93","093_Priest&Franklin_2002",2002,"Emydura macquarii","testudines","adult","wild",1595,"bimodal","individual","voluntary","mean","23",15,30,22.5,15,"plus10",32.55813953,16.64050588,5,7.441860465,6.511627907,3.640110661,5,1.627906977,1,0.341995189,"Fig1B","Emydura","macquarii","Emydura","Emydura_macquarii"
"93","093_Priest&Franklin_2002",2002,"Rheodytes leukops","testudines","adult","wild",1325,"bimodal","individual","voluntary","mean","23",15,30,22.5,15,"plus10",98.94736842,55.43582049,6,22.63157895,15.26315789,11.60284615,6,4.736842105,1,0.287625089,"Fig1A","Rheodytes","leukops","Rheodytes","Rheodytes_leukops"
"106","106_Samajova&Gvozdik_2009",2009,"Ichthyosaura alpestris","urodela","adult","wild",3.5,"bimodal","individual","voluntary","mean","18-16",10,25,17.5,15,"plus10",5.512820513,1.954108603,12,0.564102564,0.923076923,0.222057796,12,0.064102564,1,0.303791786,"Fig2A; body mas data from DOI 10.1007/s00265-005-0924-8, pg. 123","Ichthyosaura","alpestris","Ichthyosaura","Ichthyosaura_alpestris"
"3","003_Aubret_etal_2015",2015,"Natrix maura ","serpentes","juvenile","wild",2.525,"aerial","individual","fright","mean","18",10,30,20,20,"plus10",57.27272727,34.54246399,231,2.272727273,3.636363636,10.3627392,231,0.681818182,1,0.251976315,"fig1","Natrix","maura","Natrix","Natrix_maura"
"23","023_Clark_etal_2008",2008,"Elusor macrurus","testudines","juvenile","wild",29.88,"bimodal","individual","voluntary","mean","17",17,28,22.5,11,"plus10",765,521.7413152,6,213,8.36,1.420704051,6,0.58,1,0.016476272,"In text pg. 304","Elusor","macrurus","Elusor","Elusor_macrurus"
