study_ID,study_name,genus,species,species_genus_sp,life_stage,animal_source,body_mass_g,respiration_mode,replication_level,dive_type,mean_or_max,acclimation_temp,t1,t2,delta_t,mean_control,sd_control,n_control,se_control,mean_treatment,sd_treatment,n_treatment,se_treatment,shared_control,Q10,source,
3,003_Aubret_etal_2015,Natrix,maura,Natrix maura ,juvenile,wild,unreported,aerial,individual,fright,mean,18,10,20,10,57.27272727,34.54246399,231,2.272727273,11.13636364,13.81698559,231,0.909090909,1,0.194444444,fig1,
3,003_Aubret_etal_2015,Natrix,maura,Natrix maura ,juvenile,wild,unreported,aerial,individual,fright,mean,18,10,30,20,57.27272727,34.54246399,231,2.272727273,3.636363636,10.3627392,231,0.681818182,1,0.251976315,fig1,
3,003_Aubret_etal_2015,Natrix,maura,Natrix maura ,juvenile,wild,unreported,aerial,individual,fright,mean,18,20,30,10,11.13636364,13.81698559,231,0.909090909,3.636363636,10.3627392,231,0.681818182,2,0.326530612,fig1,
93,093_Priest&Franklin_2002,Rheodytes,leukops,Rheodytes leukops,adult,wild,1325,bimodal,individual,voluntary,mean,23,15,23,8,98.94736842,55.43582049,6,22.63157895,35.78947368,19.33807692,6,7.894736842,1,0.280503852,Fig1A,
93,093_Priest&Franklin_2002,Rheodytes,leukops,Rheodytes leukops,adult,wild,1325,bimodal,individual,voluntary,mean,23,15,30,15,98.94736842,55.43582049,6,22.63157895,15.26315789,11.60284615,6,4.736842105,1,0.287625089,Fig1A,
93,093_Priest&Franklin_2002,Rheodytes,leukops,Rheodytes leukops,adult,wild,1325,bimodal,individual,voluntary,mean,23,23,30,7,35.78947368,19.33807692,6,7.894736842,15.26315789,11.60284615,6,4.736842105,2,0.295985286,Fig1A,
97,097_Reyes&Milsom_2009,Trachemys,scripta,Trachemys scripta elegans,adult,captive,1110,aerial,individual,voluntary,mean,"9,14.7,20.8",9,14.7,5.7,55.8,1.414213562,8,0.5,51.3,3.959797975,8,1.4,1,0.862850151,Table2,
97,097_Reyes&Milsom_2009,Trachemys,scripta,Trachemys scripta elegans,adult,captive,1110,aerial,individual,voluntary,mean,"9,14.7,20.8",9,20.8,11.8,55.8,1.414213562,8,0.5,54,1.959591794,6,0.8,1,0.972594549,Table2,
97,097_Reyes&Milsom_2009,Trachemys,scripta,Trachemys scripta elegans,adult,captive,1110,aerial,individual,voluntary,mean,"9,14.7,20.8",14.7,20.8,6.1,51.3,3.959797975,8,1.4,54,1.959591794,6,0.8,2,1.087723922,Table2,
106,106_Samajova&Gvozdik_2009,Triturus,alpestris,Triturus alpestris,adult,wild,unreported,aerial,individual,voluntary,mean,18-16,10,15,5,5.512820513,1.954108603,12,0.564102564,3.320512821,1.154700538,12,0.333333333,1,0.362796106,Fig2A,
